tau_seconds,weighted_prevalence,unweighted_prevalence,m_p_pr_auc,m_p_eall_pr_auc,delta_pr_auc,m_p_auroc,m_p_eall_auroc
2.0,0.0150452258155539,0.0150452258155539,0.3160877387348214,0.2719191785635381,-0.0441685601712832,0.8584554727873348,0.882482616552418
3.0,0.0560854979542568,0.0560854979542568,0.3223501057749615,0.3370011789578271,0.0146510731828655,0.8021620116839834,0.8398515658864312
5.0,0.1796805191954978,0.1796805191954978,0.4972459481500412,0.5632612136091079,0.0660152654590666,0.7812278563925589,0.8264552755469399
