kpi_name,taxonomy_category,expected_direction,spearman_rho,p_value,direction_concordant,claim_strength,difference,cohens_d
kpi__true_clearance_drac_max,CONVERGENT_SHARED_INPUT,positive,0.0523822154477871,5.5602656555689766e-11,True,WEAK_DIRECTIONAL_SUPPORT,-1.2814816164043012,-0.0371778988982626
kpi__true_clearance_drac_p95,CONVERGENT_SHARED_INPUT,positive,0.0497826508059363,4.682803882206856e-10,True,WEAK_DIRECTIONAL_SUPPORT,-1.5203062249501365,-0.0946200888068551
kpi__sdc_hard_decel_p95,VEHICLE_RESPONSE,positive,0.1347211198208282,2.962587711802968e-64,True,MODERATE_DIRECTIONAL_SUPPORT,0.2427020002903317,0.3450934811835932
kpi__sdc_min_longitudinal_accel,VEHICLE_RESPONSE,negative,-0.1248331437257095,2.3425612307608948e-55,True,MODERATE_DIRECTIONAL_SUPPORT,-0.1914557743389753,-0.1013463213995206
kpi__sdc_abs_jerk_p95,VEHICLE_RESPONSE,positive,0.0305639291334194,0.0001318194276999,True,WEAK_DIRECTIONAL_SUPPORT,0.5025134975811438,0.0395440727562
