model_id,description,feature_set,num_features,dev_pr_auc,dev_auroc,holdout_pr_auc,holdout_auroc,holdout_brier,holdout_delta_ap_vs_mp,holdout_95_ci,p_value
M_P,Physical Baseline,$P_{\text{clean}}$,12,0.3206479189166679,0.797482901116207,0.3223501057749615,0.8021620116839834,0.0450688951762485,Baseline,—,—
M_E,ODD Only,$E_{\text{all}}$,17,0.139391497767635,0.7097650382618076,0.1141251435748523,0.7112722773038556,0.0515630917703589,-0.2082,"[-0.2241, -0.1925]",<0.001
M_P_Estatic,Physics + Static ODD,$P_{\text{clean}} + E_{\text{static}}$,17,0.3174953662890565,0.8029070840029189,0.3167349309936055,0.8046442511908545,0.0452045201296082,-0.0056,"[-0.0157, +0.0038]",0.2468
M_P_Ecomp,Physics + Traffic Comp.,$P_{\text{clean}} + E_{\text{comp}}$,18,0.315345138927942,0.7993065336182663,0.315671781069472,0.807849955300376,0.0452592759533458,-0.0067,"[-0.0139, -0.0001]",0.0470
M_P_Einteract,Physics + Multi-Agent Interaction (Core),$P_{\text{clean}} + E_{\text{interact}}$,18,0.3457551911427214,0.8369304196031064,0.338462302522861,0.834725738993208,0.0444430958985971,+0.0161,"[+0.0057, +0.0264]",0.0050
M_P_Eall,Physics + Full ODD Context (Full),$P_{\text{clean}} + E_{\text{all}}$,29,0.3434923086517902,0.8394664264799456,0.3370011789578271,0.8398515658864312,0.044420121749107,+0.0147,"[+0.0005, +0.0285]",0.0470
M_P_Eall_Ehist,Physics + Full ODD + History,$P_{\text{clean}} + E_{\text{all}} + E_{\text{hist}}$,36,0.3492894684187779,0.839203687795512,0.3352656755068235,0.8389360604285654,0.0445286367384986,—,—,—
